"Greenock","Greenock"
"Porto","Iaşi"
"Torres","Bonifacio"
"Sassari","Porto"
"Sassari","Aachen"
"Cagliari","Torres"
"Amsterdam","Sassari"
"Amsterdam","Ioannina"
"Utrecht","Cagliari"
"Arnhem","Amsterdam"
"Emmerich","Utrecht"
"Oberhausen","Arnhem"
"Oberhausen","Nemecké"
"Oberhausen","Uzhhorod"
"Oberhausen","Mukachevo"
"Oberhausen","Antalya"
"Cologne","Emmerich"
"Frankfurt","Oberhausen"
"Frankfurt","Trieste"
"am","Cologne"
"am","Frederikshavn"
"am","Aalborg"
"Main","Frankfurt"
"Main","Sochi"
"Heidelberg","Messina"
"Heidelberg","Haukeli"
"Karlsruhe","am"
"Offenburg","Main"
"Lucerne","Heidelberg"
"Altdorf","Karlsruhe"
"Altdorf","Khashuri"
"Altdorf","Lübeck"
"Gotthard","Offenburg"
"Pass","Lucerne"
"Bellinzona","Povorino"
"Bellinzona","Volgograd"
"Bellinzona","Poti"
"Lugano","Altdorf"
"Chiasso","Gotthard"
"Chiasso","Iran"
"Como","Pass"
"Milan","Bellinzona"
"Piacenza","Lugano"
"Parma","Chiasso"
"Modena","Como"
"Modena","Bolzano"
"Modena","Postojna"
"Modena","Bursa"
"Florence","Milan"
"Florence","Esil"
"Florence","Derzhavinsk"
"Rome","Piacenza"
"Karesuvanto","Parma"
"Karesuvanto","Mazara"
"Karesuando","Modena"
"Arvidsjaur","Florence"
"Arvidsjaur","del"
"Arvidsjaur","Vallo"
"Arvidsjaur","Reggio"
"Östersund","Rome"
"Östersund","Newport"
"Östersund","Bristol"
"Östersund","Pontevedra"
"Östersund","Tarnovo"
"Mora","Karesuvanto"
"Mora","Romano"
"Mora","Reggio"
"Mora","Calabria"
"Mora","Porto"
"Mora","Chişinău"
"Mora","Poitiers"
"Säffle","Karesuando"
"Säffle","Görlitz"
"Gothenburg","Arvidsjaur"
"Gothenburg","Vévi"
"Frederikshavn","Östersund"
"Frederikshavn","Erfurt"
"Frederikshavn","Gera"
"Frederikshavn","Chemnitz"
"Frederikshavn","Melitopol"
"Aalborg","Mora"
"Aarhus","Säffle"
"Aarhus","Kızılcahamam"
"Vejle","Gothenburg"
"Kolding","Frederikshavn"
"Flensburg","Alburni"
"Flensburg","Mukachevo"
"Hamburg","Aarhus"
"Hanover","Vejle"
"Hanover","Cosenza"
"Hanover","Villa"
"Göttingen","Kolding"
"Kassel","Flensburg"
"Fulda","Hamburg"
"Fulda","Kongsberg"
"Würzburg","Hanover"
"Würzburg","Kongsberg"
"Nuremberg","Göttingen"
"Nuremberg","Hoogeveen"
"Munich","Kassel"
"Munich","Portlaoise"
"Rosenheim","Fulda"
"Rosenheim","Lauterach"
"Wörgl","Würzburg"
"Wörgl","Ukmergė"
"Innsbruck","Nuremberg"
"Brenner","Telfs"
"Fortezza","Munich"
"Bolzano","Rosenheim"
"Bolzano","Nykøbing"
"Bolzano","Megri"
"Trento","Wörgl"
"Verona","Innsbruck"
"Bologna","Brenner"
"Bologna","Gelibolu"
"Cesena","Fortezza"
"Perugia","Bolzano"
"Perugia","Bursa"
"Perugia","Miskolc"
"Fiano","Trento"
"Fiano","Berlin"
"Fiano","Dresden"
"Fiano","Arkalyk"
"Fiano","Newry"
"Fiano","Tyumen"
"Romano","Verona"
"Romano","Beiuş"
"Naples","Bologna"
"Naples","Maikapshagai"
"Naples","Å"
"Salerno","Cesena"
"Sicignano","Perugia"
"Sicignano","Salzburg"
"Sicignano","Villach"
"Sicignano","Colchester"
"Sicignano","Iraq"
"Sicignano","Rognan"
"degli","Fiano"
"Alburni","Romano"
"Alburni","Wrocław"
"Alburni","Opole"
"Alburni","Kırklareli"
"Cosenza","Naples"
"Cosenza","Görlitz"
"Cosenza","Wrocław"
"Cosenza","Géfira"
"Villa","Salerno"
"Villa","La"
"Villa","Toprakkale"
"Villa","İskenderun"
"San","Sicignano"
"Giovanni","degli"
"Messina","Alburni"
"Messina","Stryj"
"Catania","Cosenza"
"Siracusa","San"
"Gela","Giovanni"
"Gela","Zugdidi"
"Helsingør","Messina"
"Copenhagen","Catania"
"Køge","Siracusa"
"Køge","Tresfjord"
"Vordingborg","Gela"
"Vordingborg","Bad"
"Farø","Bad"
"Nykøbing","Helsingør"
"Nykøbing","Reichenhall"
"Falster","Copenhagen"
"Gedser","Køge"
"Gedser","Góra"
"Rostock","Vordingborg"
"Berlin","Farø"
"Lübbenau","Jelenia"
"Dresden","Falster"
"Dresden","Tambov"
"Dresden","Agigea"
"Dresden","Balatonvilágos"
"Ústí","Gedser"
"nad","Rostock"
"Labem","Berlin"
"Labem","Kaliningrad"
"Prague","Lübbenau"
"Tábor","Dresden"
"Linz","Ústí"
"Linz","Jezkazgan"
"Salzburg","nad"
"Villach","Labem"
"Villach","Å"
"Villach","Svolvær"
"Villach","Beiuş"
"Tarvisio","Prague"
"Udine","Tábor"
"Palmanova","Linz"
"Mestre","Salzburg"
"Mestre","Rognan"
"Mestre","Appenweier"
"Ravenna","Tarvisio"
"Ravenna","Gliwice"
"Rimini","Udine"
"Rimini","Ipswich"
"Rimini","Gliwice"
"Rimini","Chaumont"
"Rimini","Waldshut"
"Fano","Palmanova"
"Fano","Rijeka"
"Fano","Split"
"Fano","Gliwice"
"Fano","Antwerp"
"Fano","Toce"
"Ancona","Mestre"
"Pescara","Ravenna"
"Canosa","Rimini"
"di","Fano"
"Puglia","Ancona"
"Puglia","Pescara"
"Puglia","Setermoen"
"Bari","Pescara"
"Bari","Refahiye"
"Brindisi","Canosa"
"Brindisi","Vinnytsia"
"Brindisi","Uman"
"Brindisi","Huelva"
"Igoumenitsa","di"
"Igoumenitsa","Alta"
"Preveza","Puglia"
"Preveza","Stryj"
"Preveza","Kokand"
"Rhion","Bari"
"Rhion","Alta"
"Patras","Brindisi"
"Patras","Igoumenitsa"
"Pyrgos","Igoumenitsa"
"Pyrgos","Cloppenburg"
"Kalamata","Preveza"
"Kalamata","Rhion"
"Kalamata","Kulob"
"Malmö","Rhion"
"Malmö","Kokpek"
"Ystad","Patras"
"Ystad","Pristina"
"Ystad","Cloppenburg"
"Świnoujście","Pyrgos"
"Świnoujście","Skopje"
"Świnoujście","Kičevo"
"Wolin","Kalamata"
"Goleniów","Malmö"
"Szczecin","Ystad"
"Gorzów","Świnoujście"
"Wielkopolski","Wolin"
"Świebodzin","Goleniów"
"Świebodzin","Niki"
"Świebodzin","Reichenhall"
"Zielona","Szczecin"
"Zielona","Gorzów"
"Zielona","Vevi"
"Zielona","Sundsvall"
"Zielona","Örnsköldsvik"
"Góra","Gorzów"
"Legnica","Wielkopolski"
"Legnica","Kozani"
"Legnica","Valga"
"Jelenia","Świebodzin"
"Góra","Zielona"
"Harrachov","Legnica"
"Železný","Jelenia"
"Železný","Umeå"
"Brod","Valka"
"Turnov","Góra"
"Mladá","Larissa"
"Boleslav","Harrachov"
"Jihlava","Železný"
"Brno","Brod"
"Brno","Novi"
"Brno","Sherobod"
"Bratislava","Turnov"
"Rajka","Mladá"
"Csorna","Boleslav"
"Szombathely","Jihlava"
"Szombathely","Trelleborg"
"Zalaegerszeg","Brno"
"Nagykanizsa","Bratislava"
"Nagykanizsa","Vojtanov"
"Letenye","Rajka"
"Letenye","Budějovice"
"Zagreb","Csorna"
"Zagreb","Trondheim"
"Zagreb","Stjørdal"
"Karlovac","Szombathely"
"Rijeka","Zalaegerszeg"
"Split","Hirschberg"
"Split","Turku"
"Split","Riga"
"Dubrovnik","Nagykanizsa"
"Dubrovnik","Doncaster"
"Dubrovnik","Sheffield"
"Dubrovnik","Radom"
"Petrovac","Letenye"
"Petrovac","Jezkazgan"
"Podgorica","Zagreb"
"Bijelo","Karlovac"
"Bijelo","Kyzylorda"
"Bijelo","Svolvær"
"Polje","Rijeka"
"Polje","Lødingen"
"Polje","Evenes"
"Polje","Regensburg"
"Pristina","Chaumont"
"Skopje","Dubrovnik"
"Skopje","Spittal"
"Kičevo","Petrovac"
"Kičevo","Kraków"
"Kičevo","Rzeszów"
"Kičevo","Ballangen"
"Kičevo","Setermoen"
"Kičevo","Olderfjord"
"Kičevo","Antwerp"
"Ohrid","Podgorica"
"Ohrid","Syria"
"Bitola","Bijelo"
"Bitola","Sivrihisar"
"Niki","Polje"
"Vevi","Pristina"
"Vevi","Uman"
"Vevi","Kirovohrad"
"Vevi","Khorugh"
"Kozani","Skopje"
"Kozani","Donetsk"
"Kozani","Zürich"
"Larissa","Cuxhaven"
"Domokos","Ohrid"
"Lamia","Bitola"
"Brallos","Niki"
"Itea","Vevi"
"Itea","Świecie"
"Itea","Kristiansund"
"Antirrio","Domokos"
"Aigio","Lamia"
"Corinth","Brallos"
"Corinth","Aral"
"Tripoli","Itea"
"Tripoli","Kyzylorda"
"Tripoli","Mosjøen"
"Tripoli","Cambridge"
"Kissamos","Antirrio"
"Kissamos","Tashkent"
"Kissamos","Ružomberok"
"Kissamos","Cambridge"
"Chania","Aigio"
"Vardø","Corinth"
"Vadsø","Tripoli"
"Varangerbotn","Kissamos"
"Utsjoki","Chania"
"Utsjoki","Oldenzaal"
"Utsjoki","Osnabrück"
"Inari","Vardø"
"Ivalo","Vadsø"
"Sodankylä","Varangerbotn"
"Sodankylä","Mainland"
"Sodankylä","Babaeski"
"Rovaniemi","Utsjoki"
"Kemi","Inari"
"Kemi","Qo‘ng‘irot"
"Oulu","Ivalo"
"Oulu","Beyneu"
"Oulu","Daşoguz"
"Oulu","Armavir"
"Oulu","Skodje"
"Jyväskylä","Sodankylä"
"Heinola","Rovaniemi"
"Heinola","Lorient"
"Lahti","Kemi"
"Lahti","Ålesund"
"Helsinki","Oulu"
"Helsinki","Vannes"
"Helsinki","Kegen"
"Gdańsk","Jyväskylä"
"Gdańsk","Instefjord"
"Gdańsk","Tyup"
"Świecie","Heinola"
"Łódź","Lahti"
"Piotrków","Helsinki"
"Trybunalski","Gdańsk"
"Katowice","Świecie"
"Žilina","Sattledt"
"Győr","Łódź"
"Győr","Győr"
"Győr","Belgrade"
"Győr","Makhachkala"
"Győr","Kudowa-Zdrój"
"Budapest","Piotrków"
"Budapest","Mosjøen"
"Szeged","Trybunalski"
"Szeged","Karabutak"
"Subotica","Katowice"
"Subotica","Subotica"
"Subotica","Kumanovo"
"Subotica","Shannon"
"Subotica","Limerick"
"Novi","Nordfjordeid"
"Novi","Keşan"
"Novi","Ayvalık"
"Sad","Žilina"
"Sad","Angers"
"Belgrade","Budapest"
"Belgrade","Niš"
"Belgrade","Thessaloniki"
"Belgrade","Katerini"
"Belgrade","Dubno"
"Belgrade","Ayni"
"Belgrade","Dushanbe"
"Belgrade","Mohács"
"Belgrade","Osijek"
"Niš","Szeged"
"Kumanovo","Subotica"
"Veles","Deva"
"Gevgelija","Sad"
"Evzoni","Belgrade"
"Thessaloniki","Kumanovo"
"Katerini","Veles"
"Katerini","Dublin"
"Athens","Gevgelija"
"Heraklion","Evzoni"
"Agios","Athens"
"Agios","Deva"
"Agios","Petroşani"
"Nikolaos","Dortmund"
"Nikolaos","Aschaffenburg"
"Sitia","Heraklion"
"Sitia","Suceava"
"Sitia","Brest"
"Klaipėda","Agios"
"Kaunas","Nikolaos"
"Vilnius","Sitia"
"Lida","Klaipėda"
"Slonim","Kaunas"
"Slonim","Sary-Ozek"
"Slonim","Taldykorgan"
"Kobryn","Vilnius"
"Kobryn","Kokkola"
"Dubno","Lida"
"Ternopil","Slonim"
"Chernivtsi","Kobryn"
"Siret","Ternopil"
"Suceava","Chernivtsi"
"Roman","Siret"
"Roman","Dublin"
"Urziceni","Suceava"
"Urziceni","Byala"
"Bucharest","Roman"
"Giurgiu","Urziceni"
"Ruse","Bucharest"
"Ruse","Taskesken"
"Byala","Giurgiu"
"Byala","Hämeenlinna"
"Veliko","Ruse"
"Veliko","Panji"
"Veliko","Poyon"
"Tarnovo","Byala"
"Tarnovo","Petroşani"
"Tarnovo","Târgu"
"Stara","Veliko"
"Stara","Liverpool"
"Zagora","Tarnovo"
"Haskovo","Stara"
"Svilengrad","Zagora"
"Ormenio","Haskovo"
"Kastanies","Svilengrad"
"Didymoteicho","Ormenio"
"Alexandroupoli","Ayagoz"
"Saint","Kastanies"
"Saint","Poyon"
"Saint","Ishim"
"Petersburg","Didymoteicho"
"Pskov","Alexandroupoli"
"Gomel","Saint"
"Kiev","Petersburg"
"Odessa","Pskov"
"Odessa","Kaluga"
"Samsun","Gomel"
"Samsun","Vidin"
"Merzifon","Kiev"
"Merzifon","Halmstad"
"Moscow","Odessa"
"Moscow","Helsingborg"
"Moscow","Craigavon"
"Kaluga","Samsun"
"Kaluga","Craigavon"
"Bryansk","Merzifon"
"Bryansk","Mannheim"
"Bryansk","Heilbronn"
"Bryansk","Carlisle"
"Hlukhiv","Moscow"
"Hlukhiv","Kharkiv"
"Hlukhiv","Ishim"
"Hlukhiv","Šiauliai"
"Kirkenes","Kaluga"
"Kirkenes","Warrington"
"Murmansk","Bryansk"
"Murmansk","Simferopol"
"Petrozavodsk","Hlukhiv"
"Orel","Kirkenes"
"Kharkiv","Murmansk"
"Kharkiv","Örebro"
"Kharkiv","Karlstad"
"Simferopol","Petrozavodsk"
"Simferopol","Halmstad"
"Simferopol","Gretna"
"Alushta","Orel"
"Yalta","Simferopol"
"Yaroslavl","Alushta"
"Yaroslavl","Immingham"
"Voronezh","Yalta"
"Novorossiysk","Yaroslavl"
"Novorossiysk","Cork"
"Novorossiysk","Waterford"
"Mineralnye","Voronezh"
"Vody","Novorossiysk"
"Nalchik","Mineralnye"
"Vladikavkaz","Vody"
"Stepantsminda","Nalchik"
"Mtskheta","Vladikavkaz"
"Mtskheta","Mary"
"Mtskheta","Türkmenabat"
"Tbilisi","Stepantsminda"
"Marneuli","Mtskheta"
"Bolnisi","Plauen"
"Bolnisi","Schönberg"
"Yerevan","Tbilisi"
"Goris","Marneuli"
"Megri","Alyat"
"Megri","Turda"
"Tambov","Bolnisi"
"Povorino","Yerevan"
"Povorino","Hradec"
"Volgograd","Goris"
"Volgograd","A"
"Astrakhan","Povorino"
"Astrakhan","Rødby"
"Makhachkala","Astrakhan"
"Makhachkala","Iisalmi"
"Makhachkala","Kuopio"
"Kuba","in"
"Kuba","Holstein"
"Baku","Makhachkala"
"Baku","Mosjøen"
"Baku","Gdynia"
"Baku","Saratov"
"Alyat","Kuba"
"Alyat","Vladimir"
"Astara","Baku"
"Samara","Alyat"
"Oral","Astara"
"Atyrau","Samara"
"Beineu","Oral"
"Shetpe","Atyrau"
"Zhetybai","Beineu"
"Fetisovo","Zhetybai"
"Fetisovo","Zvolen"
"Bekdash","Fetisovo"
"Bekdash","Tolpaki"
"Türkmenbaşy","Türkmenbaşy"
"Gyzylarbat","Chelyabinsk"
"Gyzylarbat","Nizhny"
"Chelyabinsk","Kostanay"
"Kostanay","Esil"
"Esil","Mazara"
"Derzhavinsk","Arkalyk"
"Arkalyk","Ankara"
"Jezkazgan","Kyzylorda"
"Jezkazgan","Svolvær"
"Kyzylorda","Shymkent"
"Kyzylorda","Sheffield"
"Kyzylorda","Nottingham"
"Kyzylorda","Bingen"
"Shymkent","Tashkent"
"Shymkent","Rosslare"
"Shymkent","Minsk"
"Tashkent","Ayni"
"Tashkent","Karabutak"
"Ayni","Panji"
"Dushanbe","Zenica"
"Panji","Karaganda"
"Panji","Debrecen"
"Panji","Trier"
"Poyon","Balkhash"
"Ishim","Burubaytal"
"Astana","Charleroi"
"Karaganda","Bishkek"
"Karaganda","Halmeu"
"Karaganda","Marktredwitz"
"Balkhash","Namur"
"Burubaytal","Torugart"
"Almaty","Pass"
"Almaty","Mazara"
"Almaty","del"
"Almaty","Pleven"
"Bishkek","Omsk"
"Naryn","Pavlodar"
"Torugart","Semey"
"Pass","Georgiyevka"
"Omsk","Maikapshagai"
"Omsk","Newry"
"Omsk","Dundalk"
"Pavlodar","Adana"
"Semey","Melbu"
"Semey","Mo"
"Georgiyevka","Sortland"
"Maikapshagai","Lødingen"
"Å","Narvik"
"Å","Nottingham"
"Å","Leicester"
"Svolvær","Kiruna"
"Svolvær","Nottingham"
"Svolvær","St."
"Melbu","Töre"
"Sortland","Luleå"
"Lødingen","Shannon"
"Lødingen","Amersfoort"
"Lødingen","Bingen"
"Evenes","Limerick"
"Evenes","Wiesbaden"
"Narvik","Bad"
"Kiruna","Manchester"
"Töre","Leeds"
"Luleå","Kingston"
"Shannon","upon"
"Shannon","Ayagoz"
"Shannon","Tyin"
"Limerick","Hull"
"Limerick","Le"
"Limerick","Mans"
"Limerick","Tyin"
"Dublin","Esbjerg"
"Liverpool","Helsingborg"
"Liverpool","Sandvika"
"Manchester","Stockholm"
"Manchester","Kotka"
"Leeds","Tallinn"
"Kingston","Narva"
"upon","Cork"
"upon","Holyhead"
"Hull","Wexford"
"Esbjerg","Fishguard"
"Helsingborg","Penza"
"Helsingborg","Ufa"
"Helsingborg","Izmail"
"Halmstad","Blagoevgrad"
"Halmstad","Sibiu"
"Halmstad","Izmail"
"Örebro","Cardiff"
"Örebro","Piteşti"
"Stockholm","Newport"
"Tallinn","Colchester"
"Narva","Iraq"
"Narva","Larne"
"Narva","Valença"
"Cork","Felixstowe"
"Cork","Mâcon"
"Waterford","The"
"Waterford","Wittlich"
"Wexford","Hague"
"Wexford","Gouda"
"Wexford","Ballangen"
"Wexford","Antwerp"
"Rosslare","Gouda"
"Fishguard","Amersfoort"
"Fishguard","Simplon"
"Swansea","Oldenzaal"
"Swansea","Mainland"
"Bridgend","Bad"
"Cardiff","Oeynhausen"
"Cardiff","Sansepolcro"
"Newport","Braunschweig"
"Bristol","Magdeburg"
"Bristol","Keşan"
"Bristol","Vila"
"Colchester","Poznań"
"Ipswich","Warsaw"
"Felixstowe","Brest"
"Felixstowe","Selçuk"
"The","Smolensk"
"Hague","Ryazan"
"Gouda","Penza"
"Gouda","Aydın"
"Amersfoort","Ufa"
"Oldenzaal","Sary"
"Osnabrück","Bruges"
"Bad","Ghent"
"Oeynhausen","Brussels"
"Oeynhausen","Susa"
"Braunschweig","Leuven"
"Magdeburg","Eupen"
"Poznań","Olpe"
"Warsaw","Wetzlar"
"Warsaw","Palermo"
"Brest","Gießen"
"Minsk","Bad"
"Minsk","Metaponto"
"Smolensk","Hersfeld"
"Smolensk","Calabria"
"Ryazan","Eisenach"
"Ryazan","Gera"
"Ryazan","Chemnitz"
"Penza","Erfurt"
"Ufa","Albufeira"
"Ufa","Kırklareli"
"Kurgan","Gliwice"
"Bruges","Zabrze"
"Bruges","Belfast"
"Bruges","Marim"
"Ghent","Kraków"
"Brussels","Jarosław"
"Leuven","Korczowa"
"Leuven","Sion"
"Eupen","Lviv"
"Eupen","Sarreguemines"
"Eupen","Ludwigshafen"
"Eupen","Connection"
"Eupen","Syria"
"Aachen","Rivne"
"Aachen","Batnfjordsøra"
"Aachen","an"
"Olpe","Zhytomyr"
"Olpe","Molde"
"Wetzlar","Luhansk"
"Gießen","Beyneu"
"Gießen","Vestnes"
"Gießen","Skodje"
"Gießen","Gravellona"
"Bad","der"
"Hersfeld","Nukus"
"Hersfeld","Førde"
"Eisenach","Daşoguz"
"Erfurt","Bukhara"
"Erfurt","Nantes"
"Erfurt","Lavik"
"Gera","Kırıkhan"
"Chemnitz","Navoiy"
"Chemnitz","Auxerre"
"Görlitz","Samarkand"
"Görlitz","Schaffhausen"
"Wrocław","Jizzakh"
"Wrocław","Nakhchivan"
"Opole","Zhambyl"
"Gliwice","Sary-Ozek"
"Zabrze","Ucharal"
"Kraków","Taskesken"
"Rzeszów","Oskemen"
"Rzeszów","Fagernes"
"Jarosław","Ridder"
"Korczowa","Rennes"
"Lviv","Le"
"Rivne","Reims"
"Zhytomyr","Saarbrücken"
"Luhansk","Mannheim"
"Beyneu","Rozvadov"
"Beyneu","Porsgrunn"
"Qo‘ng‘irot","Plzeň"
"Nukus","Gretna"
"Daşoguz","Trenčín"
"Daşoguz","Târgu"
"Bukhara","Petropavl"
"Navoiy","Tash"
"Navoiy","Irkeshtam"
"Samarkand","Vyšné"
"Samarkand","Gaudan"
"Jizzakh","Nemecké"
"Zhambyl","Guza"
"Sary-Ozek","Mukachevo"
"Taldykorgan","Khmelnytskyi"
"Taldykorgan","Vinnytsia"
"Ucharal","Vinnytsia"
"Taskesken","Huelva"
"Taskesken","Rochelle"
"Ayagoz","Dnipropetrovsk"
"Oskemen","Donetsk"
"Oskemen","Syria"
"Ridder","Rostov-on-Don"
"Rennes","Armavir"
"Rennes","Bremen"
"Rennes","Orkanger"
"Rennes","Skodje"
"Le","Vannes"
"Mans","Nantes"
"Reims","Instefjord"
"Saarbrücken","Tours"
"Mannheim","Montargis"
"Heilbronn","Auxerre"
"Rozvadov","Dole"
"Rozvadov","Braşov"
"Rozvadov","Ploieşti"
"Plzeň","Belfort"
"Trenčín","Kherson"
"Prešov","Winterthur"
"Prešov","Halsa"
"Prešov","Straumsnes"
"Prešov","Cuxhaven"
"Košice","St."
"Vyšné","Gallen"
"Nemecké","St."
"Nemecké","Sankt"
"Uzhhorod","Margrethen"
"Uzhhorod","Mandal"
"Mukachevo","Bregenz"
"Stryj","Feldkirch"
"Khmelnytskyi","Landeck"
"Vinnytsia","Lauterach"
"Uman","Imst"
"Kirovohrad","Bad"
"Kirovohrad","Hoogeveen"
"Dnipropetrovsk","Sundsvall"
"Dnipropetrovsk","Ostrov"
"Donetsk","Aksdal"
"Donetsk","Bokn"
"Rostov-on-Don","Sankt"
"Armavir","Pölten"
"Armavir","Bremerhaven"
"Lorient","Vienna"
"Lorient","Mandal"
"Lorient","Norrköping"
"Vannes","Nickelsdorf"
"Nantes","Mosonmagyaróvár"
"Angers","Szolnok"
"Tours","Püspökladány"
"Montargis","Oradea"
"Montargis","Hof"
"Montargis","Graz"
"Auxerre","Cluj-Napoca"
"Beaune","Turda"
"Dole","Mureş"
"Besançon","Braşov"
"Belfort","Şanlıurfa"
"Zürich","Slobozia"
"Winterthur","Hârşova"
"St.","Constanţa"
"St.","Jablanica"
"Gallen","Zamora"
"Gallen","Tordesillas"
"St.","Senaki"
"St.","Michael"
"St.","Kuusamo"
"St.","Kajaani"
"Margrethen","Samtredia"
"Bregenz","Kutaisi"
"Feldkirch","Khashuri"
"Feldkirch","Luki"
"Landeck","Gori"
"Landeck","Ljubljana"
"Telfs","Rustavi"
"Lauterach","Ganja"
"Imst","Yevlakh"
"Bad","Ashgabat"
"Bad","Plauen"
"Reichenhall","Tejen"
"Sattledt","Alat"
"Sankt","Karshi"
"Pölten","Guzar"
"Pölten","Fauske"
"Vienna","Sherobod"
"Nickelsdorf","Termez"
"Mosonmagyaróvár","Jirgatal"
"Szolnok","Petropavl"
"Püspökladány","Tash"
"Oradea","Coruña"
"Oradea","Králové"
"Cluj-Napoca","Bilbao"
"Turda","Clermont-Ferrand"
"Târgu","Chambéry"
"Mureş","Debrecen"
"Braşov","Acıpayam"
"Ploieşti","Nordkapp"
"Ploieşti","Yelabuga"
"Ploieşti","Perm"
"Slobozia","Slavonski"
"Hârşova","Brod"
"Constanţa","Vršac"
"Agigea","Timişoara"
"Poti","Drobeta-Turnu"
"Senaki","Severin"
"Samtredia","Craiova"
"Kutaisi","Alexandria"
"Khashuri","Razgrad"
"Khashuri","Velikiye"
"Gori","Shumen"
"Rustavi","Varna"
"Ganja","Ordu"
"Yevlakh","Giresun"
"Ashgabat","Trabzon"
"Tejen","Batumi"
"Tejen","Bayreuth"
"Mary","Lisbon"
"Türkmenabat","Valladolid"
"Alat","Toulouse"
"Karshi","Nice"
"Guzar","Sofia"
"Sherobod","Plovdiv"
"Termez","Istanbul"
"Jirgatal","İzmit"
"Sary","Gerede"
"Tash","Amasya"
"Irkeshtam","Erzurum"
"A","Karavanke"
"Coruña","Gürbulak"
"Bilbao","Iran"
"Clermont-Ferrand","Palermo"
"Clermont-Ferrand","Reggio"
"Chambéry","Calabria"
"Susa","Malko"
"Turin","Taranto"
